src,flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate,scheduled_dept_clean,actual_dept_clean,scheduled_arrival_clean,actual_arrival_clean
flylouisville,2012-01-01-AA-1917-JFK-MCO,02:55 PM  Sun 01-Jan-2012,03:00 PM  Sun 01-Jan-2012,C45,05:55 PM  Sun 01-Jan-2012,05:51 PM  Sun 01-Jan-2012,16,2012-01-01 02:55:00,2012-01-01 03:00:00,2012-01-01 05:55:00,2012-01-01 05:51:00
flightaware,2011-12-20-AA-4307-ORD-DTW,2011-12-20 06:45PM CST,2011-12-20 07:05PM CST, H3A ,2011-12-20 08:49PM EST,2011-12-20 08:56PM EST, D28 ,,,2011-12-20 20:49:00,2011-12-20 20:56:00
boston,2011-12-01-UA-1500-IAH-GUA,,9:43 AMDec 01,,,12:10 PMDec 01,,,,,
quicktrip,2011-12-07-AA-4277-CVG-JFK,2011-12-07 12:10 PM,2011-12-07 12:16 PM,,2011-12-07 2:15 PM,2011-12-07 1:58 PM,,2011-12-07 12:10:00,2011-12-07 12:16:00,2011-12-07 02:15:00,2011-12-07 01:58:00
travelocity,2011-12-02-UA-858-PVG-SFO,Dec 02 - Not Available,Dec 02 - 1:51pm,75,Dec 02 - Not Available,Dec 02 - 8:06am,97,,2002-12-01 13:51:00,,2002-12-01 08:06:00
quicktrip,2011-12-12-AA-222-LAX-BOS,2011-12-12 7:10 AM,2011-12-12 7:04 AM,,2011-12-12 3:30 PM,2011-12-12 3:07 PM,,2011-12-12 07:10:00,2011-12-12 07:04:00,2011-12-12 03:30:00,2011-12-12 03:07:00
panynj,2011-12-31-AA-431-MIA-SFO,8:35 AM- Dec 31,9:03 AM- Dec 31,E9,11:50 AM- Dec 31,11:52 AM- Dec 31,Terminal 2 - 57,2031-12-01 08:35:00,2031-12-01 09:03:00,2031-12-01 11:50:00,2031-12-01 11:52:00
airtravelcenter,2011-12-14-UA-664-ORD-PHL,,12/14/11 1:48 PM (-06:00),,,12/14/11 4:13 PM (-05:00),,,,,
mco,2011-12-27-AA-1640-MIA-MCO,,,,2011-12-27 Tue  19:25,2011-12-27 Tue  19:26,14?,,,2011-12-27 19:25:00,2011-12-27 19:26:00
travelocity,2011-12-31-AA-3809-PHX-LAX,Dec 31 - 6:00am,Dec 31 - 7:00am,2,Dec 31 - 6:40am,Dec 31 - 7:30am,44F/T4,2031-12-01 06:00:00,2031-12-01 07:00:00,2031-12-01 06:40:00,2031-12-01 07:30:00
usatoday,2011-12-20-AA-3468-CVG-MIA,7:00 AM- Dec 20,7:10 AM- Dec 20,,9:55 AM- Dec 20,9:22 AM- Dec 20,,2020-12-01 07:00:00,2020-12-01 07:10:00,2020-12-01 09:55:00,2020-12-01 09:22:00
myrateplan,2011-12-18-AA-3842-MSP-ORD,,12/18/11 6:17 AM (-06:00),,,12/18/11 7:11 AM (-06:00),,,,,
gofox,2011-12-26-AA-3859-IAH-ORD,7:10 AM- Dec 26,7:19 AM- Dec 26,,9:40 AM- Dec 26,9:09 AM- Dec 26,,2026-12-01 07:10:00,2026-12-01 07:19:00,2026-12-01 09:40:00,2026-12-01 09:09:00
myrateplan,2011-12-05-UA-1500-IAH-GUA,12/5/11 8:55 AM (-06:00),,,12/5/11 11:45 AM (-06:00),,,,,,
panynj,2011-12-28-UA-2515-DFW-CLT,,8:03 AMDec 28,,,10:55 AMDec 28,,,,,
usatoday,2011-12-17-AA-1664-MIA-ATL,2011-12-17 10:15 AM,2011-12-17 10:27 AM,,2011-12-17 12:10 PM,2011-12-17 11:52 AM,,2011-12-17 10:15:00,2011-12-17 10:27:00,2011-12-17 12:10:00,2011-12-17 11:52:00
allegiantair,2011-12-25-AA-415-BOS-ORD,,8:46 AMDec 25,,,10:08 AMDec 25,,,,,
flytecomm,2011-12-19-AA-59-JFK-SFO,,12/19/11 7:42 AM (-05:00),,,12/19/11 10:22 AM (-08:00),,,,,
flightstats,2011-12-12-UA-3373-IAD-PHL,2011-12-12 8:29 AM,2011-12-12 8:40 AM,,2011-12-12 9:24 AM,2011-12-12 10:11 AM,,2011-12-12 08:29:00,2011-12-12 08:40:00,2011-12-12 09:24:00,2011-12-12 10:11:00
quicktrip,2011-12-20-AA-1165-JFK-MIA,2011-12-20 6:59 AM,2011-12-20 7:05 AM,,2011-12-20 10:34 AM,2011-12-20 10:13 AM,,2011-12-20 06:59:00,2011-12-20 07:05:00,2011-12-20 10:34:00,2011-12-20 10:13:00
flights,2011-12-30-AA-518-MIA-JFK,06:30 AM  Fri 30-Dec-2011,06:27 AM  Fri 30-Dec-2011,D11,09:15 AM  Fri 30-Dec-2011,09:14 AM  Fri 30-Dec-2011,B8,2011-12-30 06:30:00,2011-12-30 06:27:00,2011-12-30 09:15:00,2011-12-30 09:14:00
airtravelcenter,2012-01-02-AA-446-DFW-PHL,,1/2/12 11:59 AM (-06:00),,,1/2/12 3:50 PM (-05:00),,,,,
businesstravellogue,2011-12-13-AA-4344-ORD-DTW,,2011-12-13 11:38 AM,G1B,,2011-12-13 01:45 PM,D28,,2011-12-13 11:38:00,,2011-12-13 01:45:00
panynj,2011-12-09-UA-5487-SFO-MRY,10:39 AM- Dec 09,10:59 AM- Dec 09,,11:19 AM- Dec 09,11:26 AM- Dec 09,,2009-12-01 10:39:00,2009-12-01 10:59:00,2009-12-01 11:19:00,2009-12-01 11:26:00
flylouisville,2011-12-14-AA-2312-DFW-DTW,08:25 PM  Wed 14-Dec-2011,,C14,11:50 PM  Wed 14-Dec-2011,,D32,2011-12-14 08:25:00,,2011-12-14 11:50:00,
allegiantair,2011-12-17-AA-466-IAH-MIA,6:00 AM- Dec 17,6:14 AM- Dec 17,A27,9:20 AM- Dec 17,9:16 AM- Dec 17,Terminal D - D4,2017-12-01 06:00:00,2017-12-01 06:14:00,2017-12-01 09:20:00,2017-12-01 09:16:00
world-flight-tracker,2011-12-18-UA-3050-PHX-CLT,2011-12-18 11:05 AM,2011-12-18 11:05 AM,,2011-12-18 4:57 PM,2011-12-18 5:01 PM,,2011-12-18 11:05:00,2011-12-18 11:05:00,2011-12-18 04:57:00,2011-12-18 05:01:00
quicktrip,2011-12-28-UA-2945-PHL-CLT,2011-12-28 12:00 PM,2011-12-28 11:58 AM,,2011-12-28 1:45 PM,2011-12-28 1:31 PM,,2011-12-28 12:00:00,2011-12-28 11:58:00,2011-12-28 01:45:00,2011-12-28 01:31:00
flightwise,2011-12-30-UA-2726-FLL-PHL,2011-12-30 04:00PM EST,2011-12-30 04:13PM EST,,2011-12-30 06:15PM EST,2011-12-30 06:17PM EST,,2011-12-30 16:00:00,2011-12-30 16:13:00,2011-12-30 18:15:00,2011-12-30 18:17:00
sfo,2011-12-13-UA-397-JFK-SFO,,,,2011-12-13 11:55 AM,,85,,,2011-12-13 11:55:00,
flightview,2011-12-29-UA-2906-PHL-MCO,3:50 PM- Dec 29,3:56 PM- Dec 29,B13,6:23 PM- Dec 29,5:59 PM- Dec 29,58,2029-12-01 03:50:00,2029-12-01 03:56:00,2029-12-01 06:23:00,2029-12-01 05:59:00
flytecomm,2011-12-14-AA-85-JFK-SFO,,12/14/11 4:10 PM (-05:00),,,12/14/11 7:00 PM (-08:00),,,,,
businesstravellogue,2011-12-24-AA-1544-SAN-ORD,,2011-12-24 11:19 AM,27,,2011-12-24 05:16 PM,H6,,2011-12-24 11:19:00,,2011-12-24 05:16:00
flylouisville,2011-12-02-AA-4344-ORD-DTW,,2011-12-02 11:53 AM,G1A,,2011-12-02 01:51 PM,D28,,2011-12-02 11:53:00,,2011-12-02 01:51:00
myrateplan,2011-12-31-UA-414-LAX-SFO,,12/31/11 6:18 AM (-08:00),,,12/31/11 7:06 AM (-08:00),,,,,
gofox,2011-12-11-UA-257-JFK-SFO,2:30 PM- Dec 11,2:54 PM- Dec 11,,6:10 PM- Dec 11,5:38 PM- Dec 11,,2011-12-01 02:30:00,2011-12-01 02:54:00,2011-12-01 06:10:00,2011-12-01 05:38:00
quicktrip,2011-12-09-UA-2704-DTW-PHX,2011-12-09 11:15 AM,2011-12-09 11:12 AM,,2011-12-09 1:40 PM,2011-12-09 1:43 PM,,2011-12-09 11:15:00,2011-12-09 11:12:00,2011-12-09 01:40:00,2011-12-09 01:43:00
usatoday,2011-12-16-AA-1165-JFK-MIA,2011-12-16 06:59 AM,2011-12-16 07:59 AM,,2011-12-16 10:34 AM,2011-12-16 10:40 AM,,2011-12-16 06:59:00,2011-12-16 07:59:00,2011-12-16 10:34:00,2011-12-16 10:40:00
weather,2011-12-07-UA-397-JFK-SFO,2011-12-07 08:00 AM,2011-12-07 08:20 AM,,2011-12-07 11:55 AM,2011-12-07 11:10 AM,,2011-12-07 08:00:00,2011-12-07 08:20:00,2011-12-07 11:55:00,2011-12-07 11:10:00
boston,2012-01-01-AA-3842-MSP-ORD,6:00 AM- Jan 01,6:19 AM- Jan 01,,7:30 AM- Jan 01,7:18 AM- Jan 01,,2001-01-01 06:00:00,2001-01-01 06:19:00,2001-01-01 07:30:00,2001-01-01 07:18:00
travelocity,2011-12-10-AA-415-BOS-ORD,Dec 10 - 8:35am,Dec 10 - 8:30am,B31,Dec 10 - 10:40am,Dec 10 - 10:11am,K18/T3,2010-12-01 08:35:00,2010-12-01 08:30:00,2010-12-01 10:40:00,2010-12-01 10:11:00
wunderground,2011-12-22-AA-222-LAX-BOS,2011-12-22 07:10AM PST,2011-12-22 08:17AM PST, 47A ,2011-12-22 02:46PM EST,2011-12-22 03:52PM EST, B35 ,2011-12-22 07:10:00,2011-12-22 08:17:00,2011-12-22 14:46:00,2011-12-22 15:52:00
flightstats,2011-12-28-UA-854-SFO-IAH,2011-12-28 7:35 AM,2011-12-28 7:33 AM,,2011-12-28 1:30 PM,2011-12-28 1:13 PM,,2011-12-28 07:35:00,2011-12-28 07:33:00,2011-12-28 01:30:00,2011-12-28 01:13:00
foxbusiness,2011-12-19-AA-222-LAX-BOS,7:10 AM- Dec 19,7:22 AM- Dec 19,Terminal 4 - 48A,3:30 PM- Dec 19,3:18 PM- Dec 19,Terminal B - B32,2019-12-01 07:10:00,2019-12-01 07:22:00,2019-12-01 03:30:00,2019-12-01 03:18:00
flightaware,2011-12-16-AA-3979-CVG-ORD,2011-12-16 07:30AM EST,2011-12-16 08:08AM EST, 3 ,2011-12-16 07:48AM CST,2011-12-16 07:55AM CST, G5 ,2011-12-16 07:30:00,2011-12-16 08:08:00,,
weather,2011-12-25-UA-233-LAX-JFK,2011-12-25 04:25 PM,,,2011-12-25 12:44 AM,,,2011-12-25 04:25:00,,2011-12-25 12:44:00,
allegiantair,2012-01-03-AA-4277-CVG-JFK,12:10 PM- Jan 03,12:32 PM- Jan 03,Terminal 2,2:15 PM- Jan 03,2:19 PM- Jan 03,Terminal 8 - 31C,2003-01-01 12:10:00,2003-01-01 12:32:00,2003-01-01 02:15:00,2003-01-01 02:19:00
panynj,2011-12-28-AA-616-DFW-DTW,9:05 AM- Dec 28,9:28 AM- Dec 28,C16,12:35 PM- Dec 28,12:35 PM- Dec 28,Terminal N,2028-12-01 09:05:00,2028-12-01 09:28:00,2028-12-01 12:35:00,2028-12-01 12:35:00
helloflight,2012-01-03-UA-854-SFO-IAH,,1/3/12 7:57 AM (-08:00),,,1/3/12 1:16 PM (-06:00),,,,,
flightview,2011-12-07-UA-6273-YYC-SFO,,8:03 AMDec 07,,,9:42 AMDec 07,,,,,
boston,2011-12-31-UA-5487-SFO-MRY,,12:10 PMDec 31,,,12:34 PMDec 31,,,,,
flightstats,2011-12-30-UA-843-LAX-ORD,2011-12-30 2:10 PM,2011-12-30 3:45 PM,,2011-12-30 8:12 PM,2011-12-30 9:33 PM,,2011-12-30 02:10:00,2011-12-30 03:45:00,2011-12-30 08:12:00,2011-12-30 09:33:00
allegiantair,2011-12-03-UA-5487-SFO-MRY,,10:45 AMDec 03,,,11:09 AMDec 03,,,,,
flylouisville,2011-12-07-AA-3979-CVG-ORD,07:30 AM  Wed 07-Dec-2011,07:56 AM  Wed 07-Dec-2011,3,08:00 AM  Wed 07-Dec-2011,07:49 AM  Wed 07-Dec-2011,G6B,2011-12-07 07:30:00,2011-12-07 07:56:00,2011-12-07 08:00:00,2011-12-07 07:49:00
allegiantair,2011-12-17-UA-5487-SFO-MRY,10:37 AM- Dec 17,10:56 AM- Dec 17,,11:24 AM- Dec 17,11:22 AM- Dec 17,,2017-12-01 10:37:00,2017-12-01 10:56:00,2017-12-01 11:24:00,2017-12-01 11:22:00
allegiantair,2011-12-02-UA-257-JFK-SFO,2:30 PM- Dec 02,2:42 PM- Dec 02,9,6:15 PM- Dec 02,5:46 PM- Dec 02,Terminal I - G92,2002-12-01 02:30:00,2002-12-01 02:42:00,2002-12-01 06:15:00,2002-12-01 05:46:00
ua,2011-12-16-UA-382-IAD-LAX,Fri- Dec 16 12:20 PM,Fri- Dec 16 12:19 PM            On Time,C27,Fri- Dec 16 3:08 PM,Fri- Dec 16 2:38 PM,70B,2016-12-01 12:20:00,,2016-12-01 03:08:00,2016-12-01 02:38:00
aa,2011-12-31-AA-3756-ORD-SLC,December 31- 2011               12:15 PM    ,December 31- 2011               12:18 PM    , G19,December 31- 2011               02:45 PM    ,December 31- 2011               02:41 PM    , A3    ,2011-12-31 12:15:00,2011-12-31 12:18:00,2011-12-31 02:45:00,2011-12-31 02:41:00
foxbusiness,2011-12-26-UA-1500-IAH-GUA,,9:09 AMDec 26,,,11:39 AMDec 26,,,,,
aa,2011-12-19-AA-1886-BOS-MIA,December 19- 2011               10:45 AM    ,December 19- 2011               10:46 AM    , B33,December 19- 2011               02:20 PM    ,December 19- 2011               01:57 PM    , D25    ,2011-12-19 10:45:00,2011-12-19 10:46:00,2011-12-19 02:20:00,2011-12-19 01:57:00
panynj,2012-01-03-AA-3786-IAH-ORD,4:00 PM- Jan 03,4:29 PM- Jan 03,A29,6:40 PM- Jan 03,6:37 PM- Jan 03,Terminal 3,2003-01-01 04:00:00,2003-01-01 04:29:00,2003-01-01 06:40:00,2003-01-01 06:37:00
flightarrival,2011-12-10-AA-1522-SFO-ORD,11:55 PM- Dec 10,Not Available,,5:50 AM- Dec 11,Not Available,,2010-12-01 11:55:00,,2011-12-01 05:50:00,
ord,2011-12-10-AA-4344-ORD-DTW,2011-12-10 11:45 AM,,G19A,2011-12-10 2:00 PM,,D28,2011-12-10 11:45:00,,2011-12-10 02:00:00,
businesstravellogue,2011-12-14-UA-257-JFK-SFO,02:30 PM  Wed 14-Dec-2011,02:22 PM  Wed 14-Dec-2011,9,06:15 PM  Wed 14-Dec-2011,05:31 PM  Wed 14-Dec-2011,80,2011-12-14 02:30:00,2011-12-14 02:22:00,2011-12-14 06:15:00,2011-12-14 05:31:00
flightarrival,2011-12-19-AA-1221-MCO-ORD,2011-12-19 8:00 PM,2011-12-19 7:54 PM,,2011-12-19 9:50 PM,2011-12-19 9:41 PM,,2011-12-19 08:00:00,2011-12-19 07:54:00,2011-12-19 09:50:00,2011-12-19 09:41:00
boston,2011-12-29-UA-3050-PHX-CLT,11:05 AM- Dec 29,11:32 AM- Dec 29,,4:57 PM- Dec 29,4:47 PM- Dec 29,,2029-12-01 11:05:00,2029-12-01 11:32:00,2029-12-01 04:57:00,2029-12-01 04:47:00
gofox,2011-12-03-AA-518-MIA-JFK,6:30 AM- Dec 03,6:43 AM- Dec 03,,9:15 AM- Dec 03,9:11 AM- Dec 03,,2003-12-01 06:30:00,2003-12-01 06:43:00,2003-12-01 09:15:00,2003-12-01 09:11:00
quicktrip,2011-12-20-UA-3373-IAD-PHL,2011-12-20 8:30 AM,2011-12-20 8:27 AM,,2011-12-20 9:25 AM,2011-12-20 9:36 AM,,2011-12-20 08:30:00,2011-12-20 08:27:00,2011-12-20 09:25:00,2011-12-20 09:36:00
businesstravellogue,2011-12-07-UA-858-PVG-SFO,,2011-12-07 01:38 PM,D75,,2011-12-07 08:18 AM,G101,,2011-12-07 01:38:00,,2011-12-07 08:18:00
gofox,2012-01-02-UA-664-ORD-PHL,,1:59 PMJan 02,,,4:43 PMJan 02,,,,,
ifly,2011-12-19-AA-789-ORD-DEN,2011-12-19 1:05 PM,2011-12-19 1:04 PM,,2011-12-19 2:35 PM,2011-12-19 2:41 PM,,2011-12-19 01:05:00,2011-12-19 01:04:00,2011-12-19 02:35:00,2011-12-19 02:41:00
orbitz,2011-12-24-AA-3786-IAH-ORD,4:00pDec 24,3:56pDec 24, A29,6:40pDec 24,6:02pDec 24, G10,,,,
flightstats,2011-12-19-UA-3050-PHX-CLT,2011-12-19 11:05 AM,2011-12-19 11:09 AM,,2011-12-19 4:57 PM,2011-12-19 5:16 PM,,2011-12-19 11:05:00,2011-12-19 11:09:00,2011-12-19 04:57:00,2011-12-19 05:16:00
flightview,2011-12-18-AA-3786-IAH-ORD,4:00 PM- Dec 18,4:15 PM- Dec 18,Terminal A,6:40 PM- Dec 18,6:23 PM- Dec 18,Terminal 3,2018-12-01 04:00:00,2018-12-01 04:15:00,2018-12-01 06:40:00,2018-12-01 06:23:00
wunderground,2011-12-25-AA-4307-ORD-DTW,2011-12-25 06:45PM CST,2011-12-25 06:54PM CST, H5 ,2011-12-25 08:51PM EST,2011-12-25 08:40PM EST, D19 ,,,2011-12-25 20:51:00,2011-12-25 20:40:00
flights,2011-12-07-AA-2268-PHX-ORD,07:15 AM  Wed 07-Dec-2011,07:25 AM  Wed 07-Dec-2011,6,11:35 AM  Wed 07-Dec-2011,11:23 AM  Wed 07-Dec-2011,H12,2011-12-07 07:15:00,2011-12-07 07:25:00,2011-12-07 11:35:00,2011-12-07 11:23:00
weather,2011-12-12-UA-854-SFO-IAH,2011-12-12 07:53 AM,2011-12-12 08:11 AM,,2011-12-12 01:39 PM,2011-12-12 01:22 PM,,2011-12-12 07:53:00,2011-12-12 08:11:00,2011-12-12 01:39:00,2011-12-12 01:22:00
airtravelcenter,2011-12-30-AA-1165-JFK-MIA,,12/30/11 7:14 AM (-05:00),,,12/30/11 9:54 AM (-05:00),,,,,
flytecomm,2012-01-03-UA-854-SFO-IAH,,1/3/12 7:57 AM (-08:00),,,1/3/12 1:16 PM (-06:00),,,,,
usatoday,2011-12-02-UA-6273-YYC-SFO,2011-12-02 07:35 AM,,,2011-12-02 09:43 AM,,,2011-12-02 07:35:00,,2011-12-02 09:43:00,
flightstats,2011-12-09-AA-1279-DFW-PHX,2011-12-09 1:00 PM,2011-12-09 1:00 PM,,2011-12-09 2:35 PM,2011-12-09 2:32 PM,,2011-12-09 01:00:00,2011-12-09 01:00:00,2011-12-09 02:35:00,2011-12-09 02:32:00
flightexplorer,2011-12-14-AA-3842-MSP-ORD,,12/14/2011 6:20AM CST,,,12/14/2011 7:24AM CST,,,,,
helloflight,2011-12-13-AA-222-LAX-BOS,,12/13/11 7:21 AM (-08:00),,,12/13/11 2:58 PM (-05:00),,,,,
flightstats,2011-12-24-AA-271-MIA-LAX,2011-12-24 11:35 AM,2011-12-24 11:34 AM,,2011-12-24 2:25 PM,2011-12-24 1:47 PM,,2011-12-24 11:35:00,2011-12-24 11:34:00,2011-12-24 02:25:00,2011-12-24 01:47:00
flightstats,2011-12-26-AA-3804-PHL-ORD,2011-12-26 2:35 PM,2011-12-26 2:27 PM,,2011-12-26 4:05 PM,2011-12-26 3:36 PM,,2011-12-26 02:35:00,2011-12-26 02:27:00,2011-12-26 04:05:00,2011-12-26 03:36:00
flylouisville,2011-12-27-UA-382-IAD-LAX,,2011-12-27 12:18 PM,C27,,2011-12-27 03:08 PM,75B,,2011-12-27 12:18:00,,2011-12-27 03:08:00
myrateplan,2011-12-04-UA-382-IAD-LAX,,12/4/11 12:41 PM (-05:00),,,12/4/11 3:16 PM (-08:00),,,,,
flightaware,2011-12-02-UA-37-EWR-MCO,2011-12-02 01:29PM EST,2011-12-02 01:55PM EST, 128 ,2011-12-02 04:07PM EST,2011-12-02 04:09PM EST, 39 ,2011-12-02 13:29:00,2011-12-02 13:55:00,2011-12-02 16:07:00,2011-12-02 16:09:00
aa,2011-12-13-AA-4277-CVG-JFK,December 13- 2011               12:10 PM    ,December 13- 2011               12:06 PM    , 1,December 13- 2011               02:15 PM    ,December 13- 2011               01:49 PM    , 31C    ,2011-12-13 12:10:00,2011-12-13 12:06:00,2011-12-13 02:15:00,2011-12-13 01:49:00
flylouisville,2011-12-27-AA-1165-JFK-MIA,06:59 AM  Tue 27-Dec-2011,06:54 AM  Tue 27-Dec-2011,C43,10:34 AM  Tue 27-Dec-2011,10:01 AM  Tue 27-Dec-2011,D25,2011-12-27 06:59:00,2011-12-27 06:54:00,2011-12-27 10:34:00,2011-12-27 10:01:00
flightarrival,2011-12-20-AA-2525-DFW-MIA,2011-12-20 07:25 AM,2011-12-20 07:47 AM,,2011-12-20 11:10 AM,2011-12-20 11:03 AM,,2011-12-20 07:25:00,2011-12-20 07:47:00,2011-12-20 11:10:00,2011-12-20 11:03:00
orbitz,2011-12-26-AA-1007-MIA-PHX,4:55pDec 26,4:50pDec 26, D30,8:05pDec 26,7:42pDec 26, 6,,,,
aa,2011-12-25-AA-1007-MIA-PHX,December 25- 2011               04:55 PM    ,December 25- 2011               04:46 PM    , D19,December 25- 2011               08:05 PM    ,December 25- 2011               07:50 PM    , 6    ,2011-12-25 04:55:00,2011-12-25 04:46:00,2011-12-25 08:05:00,2011-12-25 07:50:00
flightaware,2011-12-12-AA-484-DFW-MIA,2011-12-12 04:15PM CST,2011-12-12 04:29PM CST, D25 ,2011-12-12 07:46PM EST,2011-12-12 07:42PM EST, D5 ,,,2011-12-12 19:46:00,2011-12-12 19:42:00
allegiantair,2011-12-10-AA-271-MIA-LAX,11:35 AM- Dec 10,11:55 AM- Dec 10,D24,2:25 PM- Dec 10,2:28 PM- Dec 10,Terminal 4 - 48B,2010-12-01 11:35:00,2010-12-01 11:55:00,2010-12-01 02:25:00,2010-12-01 02:28:00
usatoday,2011-12-18-UA-2726-FLL-PHL,2011-12-18 4:00 PM,2011-12-18 3:56 PM,,2011-12-18 6:46 PM,2011-12-18 6:34 PM,,2011-12-18 04:00:00,2011-12-18 03:56:00,2011-12-18 06:46:00,2011-12-18 06:34:00
flylouisville,2011-12-22-AA-271-MIA-LAX,11:35 AM  Thu 22-Dec-2011,11:38 AM  Thu 22-Dec-2011,D49,02:25 PM  Thu 22-Dec-2011,02:31 PM  Thu 22-Dec-2011,42A,2011-12-22 11:35:00,2011-12-22 11:38:00,2011-12-22 02:25:00,2011-12-22 02:31:00
ord,2011-12-22-AA-3804-PHL-ORD,2011-12-22 2:35 PM,,7,2011-12-22 4:05 PM,,H2,2011-12-22 02:35:00,,2011-12-22 04:05:00,
myrateplan,2011-12-20-UA-2314-ATL-PHL,,12/20/11 3:12 PM (-05:00),,,12/20/11 4:27 PM (-05:00),,,,,
flytecomm,2011-12-25-AA-1917-JFK-MCO,,12/25/11 3:10 PM (-05:00),,,12/25/11 5:36 PM (-05:00),,,,,
myrateplan,2011-12-10-UA-828-SFO-ORD,,12/10/11 11:27 PM (-08:00),,,12/11/11 5:06 AM (-06:00),,,,,
travelocity,2011-12-09-AA-404-MIA-MCO,Dec 09 - 6:45am,Dec 09 - 7:10am,E5,Dec 09 - 7:45am,Dec 09 - 8:07am,14,2009-12-01 06:45:00,2009-12-01 07:10:00,2009-12-01 07:45:00,2009-12-01 08:07:00
flightaware,2011-12-13-AA-466-IAH-MIA,2011-12-13 06:00AM CST,2011-12-13 06:14AM CST, A27 ,2011-12-13 09:11AM EST,2011-12-13 09:09AM EST, D46 ,,,2011-12-13 09:11:00,2011-12-13 09:09:00
foxbusiness,2011-12-13-AA-466-IAH-MIA,6:00 AM- Dec 13,6:14 AM- Dec 13,A27,9:20 AM- Dec 13,9:18 AM- Dec 13,Terminal D - D46,2013-12-01 06:00:00,2013-12-01 06:14:00,2013-12-01 09:20:00,2013-12-01 09:18:00
flightaware,2011-12-29-AA-1522-SFO-ORD,2011-12-29 11:55PM PST,2011-12-29 12:46AM PST, 56B ,2011-12-29 05:40AM CST,2011-12-29 06:10AM CST, K9 ,2011-12-29 23:55:00,2011-12-29 12:46:00,,
flightexplorer,2011-12-28-AA-1522-SFO-ORD,,12/28/2011 12:12AM PST,,,12/28/2011 5:54AM CST,,,2011-12-28 12:12:00,,
businesstravellogue,2011-12-16-UA-3373-IAD-PHL,,2011-12-16 08:26 AM,C20,,2011-12-16 09:19 AM,D7,,2011-12-16 08:26:00,,2011-12-16 09:19:00
flightview,2011-12-19-UA-858-PVG-SFO,,1:45 PMDec 19,,,7:55 AMDec 19,,,,,
gofox,2011-12-19-AA-59-JFK-SFO,7:10 AM- Dec 19,7:43 AM- Dec 19,,10:45 AM- Dec 19,10:33 AM- Dec 19,,2019-12-01 07:10:00,2019-12-01 07:43:00,2019-12-01 10:45:00,2019-12-01 10:33:00
foxbusiness,2011-12-28-UA-6273-YYC-SFO,,8:10 AMDec 28,,,9:46 AMDec 28,,,,,
wunderground,2011-12-31-AA-204-LAX-MCO,2011-12-31 11:25PM PST,2011-12-31 12:18AM PST, 43 ,2011-12-31 06:53AM EST,2011-12-31 07:28AM EST, 14 ,2011-12-31 23:25:00,2011-12-31 12:18:00,2011-12-31 06:53:00,2011-12-31 07:28:00
sfo,2011-12-05-AA-431-MIA-SFO,,,,2011-12-05 11:50 AM,,57,,,2011-12-05 11:50:00,
airtravelcenter,2011-12-09-UA-843-LAX-ORD,,12/9/11 2:03 PM (-08:00),,,12/9/11 7:23 PM (-06:00),,,,,
boston,2011-12-18-AA-1886-BOS-MIA,,10:58 AMDec 18,,,1:43 PMDec 18,,,,,
foxbusiness,2011-12-25-UA-2945-PHL-CLT,12:00 PM- Dec 25,12:09 PM- Dec 25,,1:45 PM- Dec 25,1:25 PM- Dec 25,,2025-12-01 12:00:00,2025-12-01 12:09:00,2025-12-01 01:45:00,2025-12-01 01:25:00
quicktrip,2011-12-29-AA-643-MIA-ORD,2011-12-29 7:10 AM,2011-12-29 7:07 AM,,2011-12-29 9:35 AM,2011-12-29 9:19 AM,,2011-12-29 07:10:00,2011-12-29 07:07:00,2011-12-29 09:35:00,2011-12-29 09:19:00
travelocity,2011-12-28-AA-3786-IAH-ORD,Dec 28 - 4:00pm,Dec 28 - 3:54pm,A29,Dec 28 - 6:40pm,Dec 28 - 6:21pm,G17/T3,2028-12-01 16:00:00,2028-12-01 15:54:00,2028-12-01 18:40:00,2028-12-01 18:21:00
myrateplan,2011-12-09-AA-4277-CVG-JFK,,12/9/11 12:24 PM (-05:00),,,12/9/11 1:42 PM (-05:00),,,,,
helloflight,2011-12-05-UA-397-JFK-SFO,,12/5/11 8:10 AM (-05:00),,,12/5/11 10:51 AM (-08:00),,,,,
airtravelcenter,2011-12-11-UA-2708-EWR-CLT,,12/11/11 3:17 PM (-05:00),,,12/11/11 4:40 PM (-05:00),,,,,
flightstats,2011-12-10-AA-1640-MIA-MCO,2011-12-10 6:30 PM,2011-12-10 6:30 PM (Estimated),,2011-12-10 7:25 PM,2011-12-10 7:25 PM (Estimated),,2011-12-10 06:30:00,,2011-12-10 07:25:00,
flightaware,2011-12-09-UA-3099-PHX-PHL,2011-12-09 11:55AM MST,2011-12-09 12:12PM MST,,2011-12-09 05:48PM EST,2011-12-09 06:05PM EST,,2011-12-09 11:55:00,,2011-12-09 17:48:00,2011-12-09 18:05:00
travelocity,2011-12-31-AA-222-LAX-BOS,Dec 31 - 7:10am,Dec 31 - 7:05am,47B/T4,Dec 31 - 3:30pm,Dec 31 - 3:20pm,B34,2031-12-01 07:10:00,2031-12-01 07:05:00,2031-12-01 15:30:00,2031-12-01 15:20:00
