Index,Original,Normalized
476,9:05 AM- Dec 31,2000-12-31 09:05:00
477,10:40 AM- Dec 04,2000-12-04 10:40:00
478,12/24/11 2:55 PM (-05:00),2011-12-24 14:55:00
479,2011-12-26 11:50 am,2011-12-26 11:50:00
480,8:00 PM- Dec 19,2000-12-19 20:00:00
481,11:55 AM  Sun 18-Dec-2011,2011-12-18 11:55:00
482,Dec 30 - 10:40am,2000-12-30 10:40:00
483,2011-12-27 08:30 AM,2011-12-27 08:30:00
484,07:15 AM  Mon 12-Dec-2011,2011-12-12 07:15:00
485,10:45aDec 18,2000-12-18 10:45:00
486,12:00 PM- Dec 24,2000-12-24 12:00:00
487,7:45 PM- Dec 11,2000-12-11 19:45:00
488,2011-12-03 8:35 AM,2011-12-03 08:35:00
489,8:05 PM- Dec 03,2000-12-03 20:05:00
490,December 20- 2011               07:10 AM,2011-12-20 07:10:00
491,3:27pDec 1,2000-12-01 15:27:00
492,2011-12-03 01:45 PM,2011-12-03 13:45:00
493,2011-12-12 6:00 AM,2011-12-12 06:00:00
494,12/27/11 1:29 PM (-05:00),2011-12-27 13:29:00
495,Wed- Dec 28 11:15 AM,2000-12-28 11:15:00
496,12/18/11 8:50 AM (-06:00),2011-12-18 08:50:00
497,Dec 07 - 10:45am,2000-12-07 10:45:00
498,7:00 AM- Dec 14,2000-12-14 07:00:00
499,12:00pDec 11,2000-12-11 12:00:00
500,2:00pJan 1,2000-01-01 14:00:00
501,2011-12-07 2:55 PM,2011-12-07 14:55:00
502,December 18- 2011               04:15 PM,2011-12-18 04:15:00
503,7:25 AM- Dec 27,2000-12-27 07:25:00
504,2011-12-31 12:00 PM,2011-12-31 12:00:00
505,2012-01-02 07:10AM EST,2012-01-02 07:10:00
506,2011-12-09 9:00 PM,2011-12-09 21:00:00
507,2011-12-30 07:45PM CST,2011-12-30 19:45:00
508,10:40 AM- Dec 29,2000-12-29 10:40:00
509,8:25 PMDec 27,2000-12-27 20:25:00
510,December 12- 2011               09:05 AM,2011-12-12 09:05:00
511,4:00 PM- Dec 11,2000-12-11 16:00:00
512,2011-12-25 7:15 AM,2011-12-25 07:15:00
513,07:10 AM  Sat 31-Dec-2011,2011-12-31 07:10:00
514,8:00 PM- Dec 08,2000-12-08 20:00:00
515,2011-12-19 3:50 PM,2011-12-19 03:50:00
516,2011-12-20 2:30 PM,2011-12-20 14:30:00
517,Dec 07 - Not Available,2000-12-07 00:00:00
518,2011-12-10 7:55 AM,2011-12-10 07:55:00
519,2011-12-17 02:30 PM,2011-12-17 14:30:00
520,10:15 AM- Dec 01,2000-12-01 10:15:00
521,2011-12-25 2:30 PM,2011-12-25 14:30:00
522,7:10 AM- Dec 18,2000-12-18 07:10:00
523,Sat- Dec 10 3:27 PM,2000-12-10 15:27:00
524,12:15 PM  Mon 05-Dec-2011,2011-12-05 12:15:00
525,2011-12-03 12:30PM EST,2011-12-03 12:30:00
526,Dec 09 - Not Available,2000-12-09 00:00:00
527,2011-12-22 04:25PM PST,2011-12-22 16:25:00
528,6:30 AM- Dec 25,2000-12-25 06:30:00
529,12/22/11 2:10 PM (-08:00),2011-12-22 14:10:00
530,2011-12-09 07:10AM PST,2011-12-09 07:10:00
531,2:55 PM- Dec 11,2000-12-11 14:55:00
532,Dec 15 - 7:10am,2000-12-15 07:10:00
533,1:45pDec 1,2000-12-01 13:45:00
534,2011-12-14 08:25 PM,2011-12-14 20:25:00
535,7:05aDec 1,2000-12-01 07:05:00
536,2:35 PM- Dec 09,2000-12-09 14:35:00
537,2012-01-01 11:55 PM,2012-01-01 23:55:00
538,12/14/11 8:55 AM (-06:00),2011-12-14 08:55:00
539,December 17- 2011               07:25 AM,2011-12-17 07:25:00
540,8:25 AM- Dec 28,2000-12-28 08:25:00
541,03:05 PM  Thu 22-Dec-2011,2011-12-22 03:05:00
542,2011-12-01 01:33 PM,2011-12-01 13:33:00
543,2011-12-13 2:30 PM,2011-12-13 14:30:00
544,2011-12-18 04:15 PM,2011-12-18 16:15:00
545,2011-12-11 02:30PM EST,2011-12-11 14:30:00
546,Dec 01 - 7:25am,2000-12-01 07:25:00
547,8:35 AM- Dec 24,2000-12-24 08:35:00
548,2011-12-19 1:00 PM,2011-12-19 13:00:00
549,7:10 AM- Dec 28,2000-12-28 07:10:00
550,2012-01-01 7:35 AM,2012-01-01 07:35:00
551,2011-12-14 7:05 AM,2011-12-14 07:05:00
552,2011-12-18 1:00 pm,2011-12-18 13:00:00
553,Mon- Dec 19 8:42 AM,2000-12-19 08:42:00
554,December 9- 2011               10:40 AM,2011-12-09 10:40:00
555,December 25- 2011               06:45 AM,2011-12-25 06:45:00
556,2012-01-02 02:55PM EST,2012-01-02 14:55:00
557,Thu- Dec 1 11:55 AM,2000-12-01 11:55:00
558,2011-12-16 7:10 AM,2011-12-16 07:10:00
559,11:35 AM- Dec 20,2000-12-20 11:35:00
560,Dec 19 - 2:55pm,2000-12-19 14:55:00
561,Dec 16 - 6:00am,2000-12-16 06:00:00
562,2011-12-27 04:15 PM,2011-12-27 04:15:00
563,2011-12-01 8:35 AM,2011-12-01 08:35:00
564,08:00 PM  Tue 27-Dec-2011,2011-12-27 20:00:00
565,2011-12-20 06:59AM EST,2011-12-20 06:59:00
566,2011-12-09 04:00 PM,2011-12-09 16:00:00
567,2011-12-13 11:35AM EST,2011-12-13 11:35:00
568,2011-12-29 11:05 AM,2011-12-29 11:05:00
569,12:00 PM- Dec 16,2000-12-16 12:00:00
570,07:55 AM  Wed 14-Dec-2011,2011-12-14 07:55:00
571,6:30aDec 12,2000-12-12 06:30:00
572,2011-12-20 07:30AM EST,2011-12-20 07:30:00
573,10:40 AM- Dec 01,2000-12-01 10:40:00
574,December 18- 2011               08:25 PM,2011-12-18 08:25:00
575,2011-12-25 07:10 AM,2011-12-25 07:10:00
576,December 30- 2011               02:55 PM,2011-12-30 14:55:00
577,1/2/12 1:29 PM (-05:00),2012-01-02 13:29:00
578,2012-01-02 12:52 PM,2012-01-02 12:52:00
579,Dec 01 - 3:50pm,2000-12-01 15:50:00
580,7:10 AM- Dec 09,2000-12-09 07:10:00
581,4:00 PM- Dec 31,2000-12-31 16:00:00
582,6:45 PM- Dec 26,2000-12-26 18:45:00
583,2011-12-24 12:00 PM,2011-12-24 12:00:00
584,Dec 17 - 6:00am,2000-12-17 06:00:00
585,10:40 AM- Dec 18,2000-12-18 10:40:00
586,10:39 AM- Dec 08,2000-12-08 10:39:00
587,2011-12-24 2:18 PM,2011-12-24 14:18:00
588,02:30 PM  Sat 10-Dec-2011,2011-12-10 14:30:00
589,2011-12-29 8:30 AM,2011-12-29 08:30:00
590,3:50 PM- Dec 17,2000-12-17 15:50:00
591,1:30pDec 28,2000-12-28 13:30:00
592,1:33 PM- Dec 09,2000-12-09 13:33:00
593,09:00 PM  Mon 12-Dec-2011,2011-12-12 21:00:00
594,6:00 AM- Dec 10,2000-12-10 06:00:00
595,12:10 PM- Dec 19,2000-12-19 12:10:00
596,Mon- Dec 12 8:55 AM,2000-12-12 08:55:00
597,8:20pDec 10,2000-12-10 20:20:00
598,6:45 AM- Dec 17,2000-12-17 06:45:00
599,7:10 AM- Dec 10,2000-12-10 07:10:00
600,8:35 AM- Dec 09,2000-12-09 08:35:00
601,Dec 02 - 1:00pm,2000-12-02 13:00:00
602,Dec 03 - 4:00pm,2000-12-03 16:00:00
603,2011-12-13 7:10 AM,2011-12-13 07:10:00
604,12:33pDec 16,2000-12-16 12:33:00
605,11:35 AM- Dec 13,2000-12-13 11:35:00
606,January 2- 2012               02:55 PM,2012-01-02 14:55:00
607,7:30 AM- Jan 03,2000-01-03 07:30:00
608,6:30 PM- Dec 08,2000-12-08 18:30:00
609,06:30 PM  Mon 19-Dec-2011,2011-12-19 18:30:00
610,7:30 AM- Dec 22,2000-12-22 07:30:00
611,2011-12-08 7:53 AM,2011-12-08 07:53:00
612,2011-12-20 12:46 PM,2011-12-20 12:46:00
613,12:15 PM- Dec 07,2000-12-07 12:15:00
614,8:35aDec 10,2000-12-10 08:35:00
615,Dec 20 - 1:00pm,2000-12-20 13:00:00
616,2011-12-02 4:15 PM,2011-12-02 16:15:00
617,12:10 PM  Mon 02-Jan-2012,2012-01-02 12:10:00
618,2012-01-03 7:10 AM,2012-01-03 07:10:00
619,10:40 AM- Dec 25,2000-12-25 10:40:00
620,2011-12-15 7:15 AM,2011-12-15 07:15:00
621,January 1- 2012               07:30 AM,2012-01-01 07:30:00
622,Fri- Dec 9 12:57 PM,2000-12-09 12:57:00
623,10:40 AM- Dec 08,2000-12-08 10:40:00
624,9:30 AM- Jan 03,2000-01-03 09:30:00
625,4:00 PM- Dec 14,2000-12-14 16:00:00
626,2011-12-11 10:40 AM,2011-12-11 10:40:00
627,2011-12-11 4:20 PM,2011-12-11 16:20:00
628,2011-12-29 10:15 AM,2011-12-29 10:15:00
629,9:00 PM- Dec 28,2000-12-28 21:00:00
630,07:00 AM  Fri 16-Dec-2011,2011-12-16 07:00:00
631,8:55aDec 13,2000-12-13 08:55:00
632,2011-12-03 06:30AM EST,2011-12-03 06:30:00
633,8:35 AM- Dec 18,2000-12-18 08:35:00
634,07:10 AM  Fri 30-Dec-2011,2011-12-30 07:10:00
635,2011-12-04 7:10 AM,2011-12-04 07:10:00
636,03:27 PM  Sun 04-Dec-2011,2011-12-04 03:27:00
637,7:10aDec 24,2000-12-24 07:10:00
638,2011-12-19 2:55 PM,2011-12-19 14:55:00
639,06:30 PM  Mon 26-Dec-2011,2011-12-26 06:30:00
640,2012-01-02 09:05 AM,2012-01-02 09:05:00
641,06:30 AM  Tue 20-Dec-2011,2011-12-20 06:30:00
642,Dec 22 - 6:00am,2000-12-22 06:00:00
643,06:59 AM  Sun 04-Dec-2011,2011-12-04 06:59:00
644,2011-12-08 09:55PM PST,2011-12-08 09:55:00
645,11:50 AM- Dec 18,2000-12-18 11:50:00
646,11:50 AM- Dec 17,2000-12-17 11:50:00
647,11:50 AM- Dec 10,2000-12-10 11:50:00
648,2011-12-03 6:00 AM,2011-12-03 06:00:00
649,12/05/2011 06:30 AM,2011-12-05 06:30:00
650,2011-12-26 4:00 PM,2011-12-26 16:00:00
651,2012-01-01 01:36 PM,2012-01-01 13:36:00
652,7:37 AM- Dec 11,2000-12-11 07:37:00
653,2011-12-02 12:54PM EST,2011-12-02 12:54:00
654,2:26pDec 27,2000-12-27 14:26:00
655,2011-12-09 06:21AM CST,2011-12-09 06:21:00
656,2011-12-29 12:29PM EST,2011-12-29 12:29:00
657,2011-12-07 3:47 PM,2011-12-07 03:47:00
658,3:33 PM- Dec 03,2000-12-03 15:33:00
659,2011-12-27 09:18AM CST,2011-12-27 09:18:00
660,2011-12-09 02:35PM EST,2011-12-09 14:35:00
661,1:16 PM- Dec 09,2000-12-09 13:16:00
662,5:06 PMDec 24,2000-12-24 17:06:00
663,12/20/2011 12:19PM EST,2011-12-20 12:19:00
664,2011-12-05 11:07 AM,2011-12-05 11:07:00
665,12/17/11 3:37 PM (-05:00),2011-12-17 15:37:00
666,7:37 AM- Dec 17,2000-12-17 07:37:00
667,2011-12-27 10:43 AM,2011-12-27 10:43:00
668,4:15 PM- Dec 25,2000-12-25 16:15:00
669,06:44 AM  Sun 25-Dec-2011,2011-12-25 06:44:00
670,7:38 AM- Dec 03,2000-12-03 07:38:00
671,8:35 AMDec 30,2000-12-30 08:35:00
672,03:13 PM  Wed 07-Dec-2011,2011-12-07 03:13:00
673,10:17 AM  Tue 13-Dec-2011,2011-12-13 10:17:00
674,11:54 AM- Dec 05,2000-12-05 11:54:00
675,12/22/11 10:58 AM (-05:00),2011-12-22 10:58:00
676,1/3/12 11:32 AM (-07:00),2012-01-03 11:32:00
677,7:08 PM- Dec 24,2000-12-24 19:08:00
678,2011-12-04 01:37PM CST,2011-12-04 13:37:00
679,2011-12-05 08:52AM EST,2011-12-05 08:52:00
680,8:28 AMDec 29,2000-12-29 08:28:00
681,12:07 PM  Mon 12-Dec-2011,2011-12-12 12:07:00
682,2012-01-03 08:34 AM,2012-01-03 08:34:00
683,2011-12-29 08:52AM EST,2011-12-29 08:52:00
684,2011-12-19 12:04PM CST,2011-12-19 12:04:00
685,12:12 PM- Dec 30,2000-12-30 12:12:00
686,11:25 AM- Dec 03,2000-12-03 11:25:00
687,11:26 AMDec 11,2000-12-11 11:26:00
688,11:21 AM  Sun 01-Jan-2012,2012-01-01 11:21:00
689,12/2/11 12:22 PM (-05:00),2011-12-02 12:22:00
690,12/03/2011 05:11 PM,2011-12-03 17:11:00
691,12/4/11 3:40 PM (-05:00),2011-12-04 15:40:00
692,2011-12-07 12:44 PM,2011-12-07 12:44:00
693,2011-12-10 11:38 PM,2011-12-10 23:38:00
694,1/2/12 1:32 PM (-06:00),2012-01-02 13:32:00
695,2011-12-14 02:38PM EST,2011-12-14 14:38:00
696,2011-12-27 12:15PM MST,2011-12-27 12:15:00
697,12/3/11 8:47 AM (-05:00),2011-12-03 08:47:00
698,6:05 AM- Jan 02,2000-01-02 06:05:00
699,1/2/12 3:07 PM (-05:00),2012-01-02 15:07:00
700,4:31 PMDec 03,2000-12-03 16:31:00
701,Dec 30 - Contact Airline,2000-12-30 00:00:00
702,4:14pJan 2,2000-01-02 16:14:00
703,12/24/11 7:32 AM (-05:00),2011-12-24 07:32:00
704,12/5/11 4:02 PM (-05:00),2011-12-05 16:02:00
705,2011-12-08 3:12 PM,2011-12-08 03:12:00
706,12:14 PM- Dec 22,2000-12-22 12:14:00
707,7:34 AM- Dec 19,2000-12-19 07:34:00
708,07:00 AM  Sat 31-Dec-2011,2011-12-31 07:00:00
709,2:48 PMDec 27,2000-12-27 14:48:00
710,12/4/11 5:12 PM (-05:00),2011-12-04 17:12:00
711,8:08 PM- Dec 07,2000-12-07 20:08:00
712,Not Available,2000-01-01 00:00:00
713,Sun- Jan 1 1:30 PM            Delayed,2000-01-01 13:30:00
714,12/8/11 11:45 AM (-05:00),2011-12-08 11:45:00
715,1:45 PMDec 22,2000-12-22 13:45:00
716,10:35 AM  Fri 30-Dec-2011,2011-12-30 10:35:00
717,January 2- 2012               04:05 PM,2012-01-02 16:05:00
718,1/2/12 12:29 PM (-06:00),2012-01-02 12:29:00
719,2:35 PMDec 26,2000-12-26 14:35:00
720,2012-01-03 7:33 AM,2012-01-03 07:33:00
721,2011-12-27 11:56 AM,2011-12-27 11:56:00
722,Dec 10 - 6:43am,2000-12-10 06:43:00
723,2011-12-16 02:27 PM,2011-12-16 14:27:00
724,2011-12-29 11:14 AM,2011-12-29 11:14:00
725,8:30 AMDec 18,2000-12-18 08:30:00
726,2011-12-25 11:00 AM,2011-12-25 11:00:00
727,7:09aJan 1,2000-01-01 07:09:00
728,12:54 PM- Dec 27,2000-12-27 12:54:00
729,12/24/11 11:58 AM (-07:00),2011-12-24 11:58:00
730,2:47 PMDec 17,2000-12-17 14:47:00
731,12/7/11 10:53 AM (-06:00),2011-12-07 10:53:00
732,1:59 PMDec 09,2000-12-09 13:59:00
733,7:25 AM- Dec 07,2000-12-07 07:25:00
734,12:42 PM- Dec 01,2000-12-01 12:42:00
735,10:58 AMDec 13,2000-12-13 10:58:00
736,1:15 PM- Dec 04,2000-12-04 13:15:00
737,2011-12-01 12:13PM CST,2011-12-01 12:13:00
738,12:11 PM  Thu 01-Dec-2011,2011-12-01 12:11:00
739,2011-12-14 04:10PM EST,2011-12-14 16:10:00
740,11:44 AMDec 09,2000-12-09 11:44:00
741,4:05 PM- Dec 24,2000-12-24 16:05:00
742,2011-12-22 08:33AM EST,2011-12-22 08:33:00
743,12/11/11 8:30 PM (-06:00),2011-12-11 20:30:00
744,2011-12-15 4:29 PM (Estimated runway),2011-12-15 16:29:00
745,Dec 09 - 6:05am,2000-12-09 06:05:00
746,7:06 AM- Jan 01,2000-01-01 07:06:00
747,2011-12-25 02:27 PM,2011-12-25 14:27:00
748,6:08 AM- Dec 18,2000-12-18 06:08:00
749,11:56 AM- Dec 16,2000-12-16 11:56:00
750,2011-12-30 3:20 PM,2011-12-30 15:20:00
751,12/24/11 7:59 PM (-06:00),2011-12-24 19:59:00
752,12/19/11 12:03 PM (-06:00),2011-12-19 12:03:00
753,2011-12-08 11:04 AM,2011-12-08 11:04:00
754,12/18/2011 7:27AM CST,2011-12-18 07:27:00
755,3:37 PM- Dec 27,2000-12-27 15:37:00
756,10:50aDec 8,2000-12-08 10:50:00
757,7:08aDec 2,2000-12-02 07:08:00
758,2011-12-02 07:21 AM,2011-12-02 07:21:00
759,03:00 PM  Sun 01-Jan-2012,2012-01-01 15:00:00
760,2011-12-20 07:05PM CST,2011-12-20 19:05:00
761,9:43 AMDec 01,2000-12-01 09:43:00
762,2011-12-07 12:16 PM,2011-12-07 12:16:00
763,Dec 02 - 1:51pm,2000-12-02 13:51:00
764,2011-12-12 7:04 AM,2011-12-12 07:04:00
765,9:03 AM- Dec 31,2000-12-31 09:03:00
766,12/14/11 1:48 PM (-06:00),2011-12-14 13:48:00
767,Dec 31 - 7:00am,2000-12-31 07:00:00
768,7:10 AM- Dec 20,2000-12-20 07:10:00
769,12/18/11 6:17 AM (-06:00),2011-12-18 06:17:00
770,7:19 AM- Dec 26,2000-12-26 07:19:00
771,8:03 AMDec 28,2000-12-28 08:03:00
772,2011-12-17 10:27 AM,2011-12-17 10:27:00
773,8:46 AMDec 25,2000-12-25 08:46:00
774,12/19/11 7:42 AM (-05:00),2011-12-19 07:42:00
775,2011-12-12 8:40 AM,2011-12-12 08:40:00
776,2011-12-20 7:05 AM,2011-12-20 07:05:00
777,06:27 AM  Fri 30-Dec-2011,2011-12-30 06:27:00
778,1/2/12 11:59 AM (-06:00),2012-01-02 11:59:00
779,2011-12-13 11:38 AM,2011-12-13 11:38:00
780,10:59 AM- Dec 09,2000-12-09 10:59:00
781,6:14 AM- Dec 17,2000-12-17 06:14:00
782,2011-12-28 11:58 AM,2011-12-28 11:58:00
783,2011-12-30 04:13PM EST,2011-12-30 16:13:00
784,3:56 PM- Dec 29,2000-12-29 15:56:00
785,12/14/11 4:10 PM (-05:00),2011-12-14 16:10:00
786,2011-12-24 11:19 AM,2011-12-24 11:19:00
787,2011-12-02 11:53 AM,2011-12-02 11:53:00
788,12/31/11 6:18 AM (-08:00),2011-12-31 06:18:00
789,2:54 PM- Dec 11,2000-12-11 14:54:00
790,2011-12-09 11:12 AM,2011-12-09 11:12:00
791,2011-12-16 07:59 AM,2011-12-16 07:59:00
792,2011-12-07 08:20 AM,2011-12-07 08:20:00
793,6:19 AM- Jan 01,2000-01-01 06:19:00
794,Dec 10 - 8:30am,2000-12-10 08:30:00
795,2011-12-22 08:17AM PST,2011-12-22 08:17:00
796,2011-12-28 7:33 AM,2011-12-28 07:33:00
797,7:22 AM- Dec 19,2000-12-19 07:22:00
798,2011-12-16 08:08AM EST,2011-12-16 08:08:00
799,12:32 PM- Jan 03,2000-01-03 12:32:00
800,9:28 AM- Dec 28,2000-12-28 09:28:00
801,1/3/12 7:57 AM (-08:00),2012-01-03 07:57:00
802,8:03 AMDec 07,2000-12-07 08:03:00
803,12:10 PMDec 31,2000-12-31 12:10:00
804,2011-12-30 3:45 PM,2011-12-30 03:45:00
805,10:45 AMDec 03,2000-12-03 10:45:00
806,07:56 AM  Wed 07-Dec-2011,2011-12-07 07:56:00
807,10:56 AM- Dec 17,2000-12-17 10:56:00
808,2:42 PM- Dec 02,2000-12-02 14:42:00
809,Fri- Dec 16 12:19 PM            On Time,2000-12-16 12:19:00
810,December 31- 2011               12:18 PM,2011-12-31 12:18:00
811,9:09 AMDec 26,2000-12-26 09:09:00
812,December 19- 2011               10:46 AM,2011-12-19 10:46:00
813,4:29 PM- Jan 03,2000-01-03 16:29:00
814,02:22 PM  Wed 14-Dec-2011,2011-12-14 14:22:00
815,2011-12-19 7:54 PM,2011-12-19 19:54:00
816,11:32 AM- Dec 29,2000-12-29 11:32:00
817,6:43 AM- Dec 03,2000-12-03 06:43:00
818,2011-12-20 8:27 AM,2011-12-20 08:27:00
819,2011-12-07 01:38 PM,2011-12-07 13:38:00
820,1:59 PMJan 02,2000-01-02 13:59:00
821,2011-12-19 1:04 PM,2011-12-19 13:04:00
822,3:56pDec 24,2000-12-24 15:56:00
823,2011-12-19 11:09 AM,2011-12-19 11:09:00
824,4:15 PM- Dec 18,2000-12-18 16:15:00
825,2011-12-25 06:54PM CST,2011-12-25 18:54:00
826,07:25 AM  Wed 07-Dec-2011,2011-12-07 07:25:00
827,2011-12-12 08:11 AM,2011-12-12 08:11:00
828,12/30/11 7:14 AM (-05:00),2011-12-30 07:14:00
829,12/14/2011 6:20AM CST,2011-12-14 06:20:00
830,12/13/11 7:21 AM (-08:00),2011-12-13 07:21:00
831,2011-12-24 11:34 AM,2011-12-24 11:34:00
832,2011-12-26 2:27 PM,2011-12-26 14:27:00
833,2011-12-27 12:18 PM,2011-12-27 12:18:00
834,12/4/11 12:41 PM (-05:00),2011-12-04 12:41:00
835,2011-12-02 01:55PM EST,2011-12-02 13:55:00
836,December 13- 2011               12:06 PM,2011-12-13 12:06:00
837,06:54 AM  Tue 27-Dec-2011,2011-12-27 06:54:00
838,2011-12-20 07:47 AM,2011-12-20 07:47:00
839,4:50pDec 26,2000-12-26 16:50:00
840,December 25- 2011               04:46 PM,2011-12-25 16:46:00
841,2011-12-12 04:29PM CST,2011-12-12 04:29:00
842,11:55 AM- Dec 10,2000-12-10 11:55:00
843,2011-12-18 3:56 PM,2011-12-18 03:56:00
844,11:38 AM  Thu 22-Dec-2011,2011-12-22 11:38:00
845,12/20/11 3:12 PM (-05:00),2011-12-20 15:12:00
846,12/25/11 3:10 PM (-05:00),2011-12-25 15:10:00
847,12/10/11 11:27 PM (-08:00),2011-12-10 23:27:00
848,Dec 09 - 7:10am,2000-12-09 07:10:00
849,2011-12-13 06:14AM CST,2011-12-13 06:14:00
850,6:14 AM- Dec 13,2000-12-13 06:14:00
851,2011-12-29 12:46AM PST,2011-12-29 12:46:00
852,12/28/2011 12:12AM PST,2011-12-28 00:12:00
853,2011-12-16 08:26 AM,2011-12-16 08:26:00
854,1:45 PMDec 19,2000-12-19 13:45:00
855,7:43 AM- Dec 19,2000-12-19 07:43:00
856,8:10 AMDec 28,2000-12-28 08:10:00
857,2011-12-31 12:18AM PST,2011-12-31 00:18:00
858,12/9/11 2:03 PM (-08:00),2011-12-09 14:03:00
859,10:58 AMDec 18,2000-12-18 10:58:00
860,12:09 PM- Dec 25,2000-12-25 12:09:00
861,2011-12-29 7:07 AM,2011-12-29 07:07:00
862,Dec 28 - 3:54pm,2000-12-28 15:54:00
863,12/9/11 12:24 PM (-05:00),2011-12-09 12:24:00
864,12/5/11 8:10 AM (-05:00),2011-12-05 08:10:00
865,12/11/11 3:17 PM (-05:00),2011-12-11 15:17:00
866,2011-12-10 6:30 PM (Estimated),2011-12-10 18:30:00
867,2011-12-09 12:12PM MST,2011-12-09 12:12:00
868,Dec 31 - 7:05am,2000-12-31 07:05:00
869,12:14 PM- Jan 01,2000-01-01 12:14:00
870,12/28/2011 1:42PM EST,2011-12-28 13:42:00
871,12/26/11 8:52 AM (-05:00),2011-12-26 08:52:00
872,2011-12-02 11:02 AM,2011-12-02 11:02:00
873,2011-12-29 12:47 PM,2011-12-29 12:47:00
874,Tue- Dec 27 11:49 AM,2000-12-27 11:49:00
875,2011-12-19 9:01 AM,2011-12-19 09:01:00
876,12/14/2011 6:46PM EST,2011-12-14 18:46:00
877,12/28/11 2:38 PM (-08:00),2011-12-28 14:38:00
878,4:16 PM- Dec 07,2000-12-07 16:16:00
879,07:13 AM  Fri 02-Dec-2011,2011-12-02 07:13:00
880,12/27/11 4:31 PM (-06:00),2011-12-27 16:31:00
881,7:12 AM- Dec 11,2000-12-11 07:12:00
882,2011-12-17 7:09 AM,2011-12-17 07:09:00
883,6:55 AM- Dec 29,2000-12-29 06:55:00
884,2011-12-11 12:29 AM,2011-12-11 00:29:00
885,3:05 PMDec 29,2000-12-29 15:05:00
886,08:29 AM  Thu 01-Dec-2011,2011-12-01 08:29:00
887,2011-12-10 10:58AM PST,2011-12-10 10:58:00
888,Wed- Dec 14 8:32 AM,2000-12-14 08:32:00
889,2011-12-09 08:33PM MST,2011-12-09 20:33:00
890,2011-12-07 4:28 PM (Estimated runway),2011-12-07 16:28:00
891,12:19 PM- Dec 20,2000-12-20 12:19:00
892,03:19 PM  Sat 03-Dec-2011,2011-12-03 15:19:00
893,12/27/2011 5:36PM PST,2011-12-27 17:36:00
894,6:23 AM- Jan 03,2000-01-03 06:23:00
895,10:58 AM- Dec 03,2000-12-03 10:58:00
896,2011-12-10 7:03 AM,2011-12-10 07:03:00
897,03:57 PM  Fri 02-Dec-2011,2011-12-02 15:57:00
898,12:29 PM  Fri 02-Dec-2011,2011-12-02 12:29:00
899,1:17 PM- Dec 17,2000-12-17 13:17:00
900,1:03 PMDec 08,2000-12-08 13:03:00
901,1:10 PMDec 07,2000-12-07 13:10:00
902,6:14aDec 4,2000-12-04 06:14:00
903,4:21pDec 22,2000-12-22 16:21:00
904,1/2/12 9:11 PM (-08:00),2012-01-02 21:11:00
905,4:59 PM- Dec 02,2000-12-02 16:59:00
906,2011-12-25 06:40PM EST,2011-12-25 18:40:00
907,2:10 PMDec 08,2000-12-08 14:10:00
908,2011-12-30 07:37AM EST,2011-12-30 07:37:00
909,7:02 AM- Dec 10,2000-12-10 07:02:00
910,12/25/11 4:29 PM (-08:00),2011-12-25 16:29:00
911,2011-12-29 03:57 PM,2011-12-29 03:57:00
912,2011-12-09 11:19 AM,2011-12-09 11:19:00
913,2011-12-12 09:13 AM,2011-12-12 09:13:00
914,Dec 09 - 1:24pm,2000-12-09 13:24:00
915,Dec 29 - Contact Airline,2000-12-29 00:00:00
916,7:23 AM- Dec 03,2000-12-03 07:23:00
917,12/17/11 3:57 PM (-05:00),2011-12-17 15:57:00
918,2011-12-09 3:46 PM,2011-12-09 03:46:00
919,3:46 PMDec 04,2000-12-04 15:46:00
920,3:02 PM- Dec 16,2000-12-16 15:02:00
921,2011-12-08 08:31PM MST,2011-12-08 20:31:00
922,12/2/2011 11:42AM PST,2011-12-02 11:42:00
923,5:16 PM- Dec 16,2000-12-16 17:16:00
924,07:07 AM  Thu 29-Dec-2011,2011-12-29 07:07:00
925,12/17/11 4:23 PM (-06:00),2011-12-17 16:23:00
926,12/19/2011 12:54PM MST,2011-12-19 12:54:00
927,10:38aDec 13,2000-12-13 10:38:00
928,12/11/11 8:17 PM (-05:00),2011-12-11 20:17:00
929,3:28 PMDec 27,2000-12-27 15:28:00
930,4:22 PMDec 19,2000-12-19 16:22:00
931,December 17- 2011               06:40 AM,2011-12-17 06:40:00
932,12/19/11 12:14 PM (-07:00),2011-12-19 12:14:00
933,3:17 PMDec 11,2000-12-11 15:17:00
934,1/1/12 4:29 PM (-06:00),2012-01-01 16:29:00
935,01:24 PM  Sat 31-Dec-2011,2011-12-31 13:24:00
936,2011-12-25 8:33 AM,2011-12-25 08:33:00
937,7:17 AM- Dec 18,2000-12-18 07:17:00
938,2011-12-01 02:42PM EST,2011-12-01 14:42:00
939,9:00 AMDec 24,2000-12-24 09:00:00
940,11:58 AMDec 20,2000-12-20 11:58:00
941,2:49pDec 28,2000-12-28 14:49:00
942,2012-01-03 11:25 PM (Estimated),2012-01-03 23:25:00
943,2012-01-01 2:49 PM,2012-01-01 14:49:00
944,12/11/11 3:11 PM (-05:00),2011-12-11 15:11:00
945,12/14/2011 6:06AM CST,2011-12-14 06:06:00
946,2011-12-16 09:01AM EST,2011-12-16 09:01:00
947,12/7/11 10:27 AM (-05:00),2011-12-07 10:27:00
948,7:19 AM- Dec 31,2000-12-31 07:19:00
949,12/7/11 7:23 AM (-08:00),2011-12-07 07:23:00
